sample_id,question,gold_answer,answer_text,rater1_score_0_5,rater2_score_0_5
JC-062,Explain how GPS trajectory data can be used to classify microenvironments for personal exposure assessment.,"GPS trajectory data provides spatial and temporal information that can be mapped to land-use categories or known locations (e.g., home, workplace, transit routes). By analyzing dwell times and movement patterns, researchers can classify microenvironments such as indoors, outdoors, or commuting.","GPS trajectory data are typically cleaned and segmented into time-stamped location points, then matched to known places or movement patterns to assign each segment to a microenvironment such as home, work, school, transit, indoor commercial space, or outdoors. Once classified, the time spent in each microenvironment can be combined with pollutant concentrations or exposure models to estimate personal exposure over the day",5,5
JC-063,How do food ingestion rates provided in the EPA Exposure Factors Handbook help in dietary exposure assessments?,"Food ingestion rates serve as a basis for estimating the intake of contaminants through diet. By stratifying rates by age, gender, and body weight, the EPA enables more accurate predictions of dietary exposure. For instance, children tend to consume more food relative to their body weight, increasing their potential intake of contaminants like pesticides.","** The EPA Exposure Factors Handbook (EFH, Chapter 9, 2011) provides age- and sex-specific **food ingestion rates** (e.g., total food, fruits, vegetables, fish, meat, dairy in g/kg-day or g/day) that serve as default intake rate (IR) values in the standard dietary intake equation: \( \text{Dose} = \frac{C \times IR \times FI \times EF \times ED}{BW \times AT} \), where \(C\) is the contaminant concentration in food, \(FI\) is the fraction ingested from a contaminated source, and the other parameters adjust for frequency, duration, body weight, and averaging time. These rates enable risk assessors to calculate both **deterministic** (central tendency or upper percentile) estimates for screening-level assessments and to parameterize **probabilistic** (Monte Carlo) exposure distributions when site-specific consumption survey data (e.g., from NHANES/WWEIA) are unavailable or when a standardized, conservative default is needed for regulatory or screening purposes",5,5
JC-064,"Explain how indoor PM2.5 concentrations would respond to an increase in outdoor concentrations during a wildfire event, assuming a constant AER and no indoor sources.","Indoor concentrations would increase proportionally to outdoor levels, modified by the infiltration efficiency and removal mechanisms (AER and deposition). The time to reach steady-state depends on τ = 1/(AER + k).","With constant air exchange rate and no indoor sources, indoor PM2.5 will increase roughly in proportion to the outdoor concentration during a wildfire event, but usually remain lower than outdoors because only a fraction penetrates indoors and some particles are lost by deposition. Using the steady-state mass-balance, \(C_{in} = \frac{P \cdot AER \cdot C_{out}}{AER + k_{dep}}\), so if AER, penetration factor, and deposition stay constant, a rise in \(C_{out}\) causes a corresponding linear rise in \(C_{in}\)",4,4
JC-065,"Explain how indoor PM2.5 concentrations would respond to an increase in outdoor concentrations during a wildfire event, assuming a constant AER and no indoor sources.","Indoor concentrations would increase proportionally to outdoor levels, modified by the infiltration efficiency and removal mechanisms (AER and deposition). The time to reach steady-state depends on τ = 1/(AER + k).","** Under steady-state conditions with a constant air exchange rate (AER), no indoor sources (S = 0), and a nonzero indoor deposition rate (k_dep > 0), the indoor PM₂.₅ concentration is given by the mass balance equation:

\[
C_{in} = \frac{P \cdot \text{AER}}{\text{AER} + k_{dep}} \cdot C_{out}
\]

This is a **linear, proportional** relationship. If outdoor PM₂.₅ doubles during a wildfire (e.g., from 50 to 100 µg/m³), indoor PM₂.₅ will also double, scaled by the fixed indoor/outdoor (I/O) ratio — which is typically < 1 because deposition removes some particles indoors. The key dynamic is that the indoor concentration tracks the outdoor concentration in lockstep: the fraction of outdoor PM₂.₅ that penetrates and remains suspended indoors is constant, so the indoor response is instantaneous (steady-state assumption) and strictly proportional. There is no saturation, buffering, or lag in this simplified model; the indoor space acts as a linear attenuator of the outdoor wildfire plume",3,3
JC-066,"Discuss how differences in time-activity patterns between urban and rural populations can influence exposure to air pollutants, referencing the EPA Exposure Factors Handbook.","Urban populations may spend more time in environments with higher pollution levels (e.g., traffic-heavy areas), while rural populations may have higher exposure to agricultural chemicals. Time-activity data from the EFH can help quantify these differences.","Urban and rural populations can have different air-pollution exposures because exposure depends not just on ambient concentration, but on how much time people spend in different microenvironments. The EPA Exposure Factors Handbook (2011) emphasizes time-activity patterns such as time spent indoors, outdoors, and in vehicles; for adults, typical defaults are about 20 h/day indoors, 1.8 h/day outdoors, and 1.5 h/day in vehicles. Urban residents may have higher exposure to traffic-related pollutants because they often spend more time commuting or near roadways, while rural residents may spend more time outdoors or near agricultural burning, dust, or woodsmoke sources; differences in housing, ventilation, and indoor source use also modify how outdoor pollution translates into personal exposure",5,5
JC-067,What is the significance of air exchange rate in determining indoor concentrations of outdoor NO2?,"The air exchange rate determines how quickly outdoor air replaces indoor air, influencing the concentration of outdoor NO2 indoors. Higher air exchange rates can reduce indoor NO2 levels by diluting pollutants and facilitating their removal.","Air exchange rate is a key control on how much outdoor NO2 enters indoors and how quickly indoor air is replaced. Higher air exchange generally increases the influence of outdoor NO2 on indoor concentrations, but the actual indoor level depends on the balance between entry, removal on indoor surfaces/chemistry, and any indoor NO2 sources such as gas stoves",2,2
JC-068,"How do ventilation rates associated with different activity levels contribute to variations in inhalation exposure risk, as described in the EPA Exposure Factors Handbook?","Ventilation rates increase with activity levels because physical exertion raises breathing rates. The EPA Exposure Factors Handbook provides data on activity-specific ventilation rates, allowing for more accurate exposure estimates during activities such as exercise, when individuals inhale more air and potentially more pollutants.","In EPA Exposure Factors Handbook (EFH) framing, activity level changes inhalation exposure risk mainly by altering **ventilation (breathing) rate** and **time spent in different microenvironments** (indoors/outdoors/vehicle). Higher activity (e.g., light → moderate → heavy) increases the **inhalation rate (IR, m³/h)**, so for the same pollutant concentration in air, the inhaled dose rises because dose scales with **C × IR × ET**.

EFH also reflects that activity level often comes with different **time-activity patterns**: people may spend more time outdoors or in transit when active, and less time in a specific indoor setting. Because indoor concentrations can differ from outdoor concentrations (due to penetration and air exchange), shifting time between microenvironments can further change the effective exposure concentration. Net effect: **higher activity generally increases exposure risk** through both (1) **greater ventilation per hour** and (2) **potentially different exposure concentrations due to where time is spent",5,5
JC-069,Describe how PBPK models can be used to predict the internal dose of a chemical following dermal absorption.,"PBPK models simulate the distribution, metabolism, and elimination of a chemical by integrating absorption rates through the skin, partition coefficients, and physiological parameters. They allow predictions of systemic concentration and target organ exposure by accounting for dermal permeability and bioavailability.","PBPK models predict internal dose after dermal absorption by treating the skin as a compartment (or a multi-layer barrier consisting of stratum corneum, viable epidermis, and dermis) with distinct partition coefficients, diffusion coefficients, and blood flow parameters. The dermal uptake flux — calculated from Fick's law using the applied concentration, exposure area, and permeability coefficient — serves as an input boundary condition, delivering chemical into the skin compartment from which it distributes via blood flow to all other organs (liver, fat, richly perfused tissues, etc.) and undergoes metabolism and excretion. The model then solves simultaneous mass-balance differential equations across compartments to output the time-varying concentration of the parent compound and metabolites in blood and target tissues, directly linking the external dermal exposure to the internal dose",5,5
JC-070,How does the Global Burden of Disease (GBD) framework incorporate the concept of susceptible populations in its health impact assessments?,"The GBD framework incorporates susceptible populations by adjusting exposure-response relationships and baseline health data to account for groups like children, the elderly, and individuals with pre-existing conditions. These populations are more vulnerable to environmental hazards, which is reflected in higher relative risks or attributable fractions.","The GBD framework incorporates susceptible populations mainly indirectly: it stratifies health impact estimates by age, sex, location, cause, and baseline disease rates, and uses endpoint-specific exposure–response functions that reflect differing vulnerability across populations. It does not usually model individual susceptibility factors explicitly; instead, susceptibility is embedded through subgroup-specific risks, demographic structure, and underlying disease burden, with some vulnerable groups such as children or older adults captured through cause-specific analyses",5,5
JC-071,How does the EPA Exposure Factors Handbook incorporate gender-specific differences in body weight into exposure assessments?,The EFH provides gender-specific body weight data to account for biological differences in weight distribution between males and females. This differentiation improves the precision of dose calculations in exposure modeling.,"The EPA Exposure Factors Handbook provides sex-specific body weight distributions and central tendency values, which assessors can plug into dose equations when exposure is normalized by body weight, such as mg/kg-day. In practice, this means male and female body weights can be used to generate sex-specific exposure estimates, while combined-population values may be used when a single default is appropriate; lower body weight generally yields a higher dose for the same intake",5,5
JC-072,How does particle size influence inhalation dose calculations in the ICRP respiratory tract model?,"Particle size affects deposition efficiency and location within the respiratory tract. Smaller particles (<0.1 μm) deposit in the alveolar region via diffusion, while larger particles (>1 μm) are captured in the upper airways by impaction and sedimentation, altering cumulative dose calculations.","In the ICRP respiratory tract model, particle size strongly affects where particles deposit and therefore the inhalation dose. Larger particles tend to deposit in the head and conducting airways, while fine and ultrafine particles penetrate deeper into the bronchiolar and alveolar regions, changing the regional deposited dose even if the inhaled concentration is the same",4,4
JC-073,How do PBPK models utilize biomarker data to predict internal doses?,"PBPK models integrate biomarker data, such as blood concentrations, to calibrate and validate predictions of the absorption, distribution, metabolism, and excretion of chemicals. Biomarker data help refine model parameters to improve accuracy in estimating internal doses.","PBPK (physiologically based pharmacokinetic) models use biomarker data by treating measured biomarkers (typically concentrations in blood/plasma/urine, or amounts of metabolite) as *observations* generated by the model’s internal compartments. The model simulates how an external exposure leads to time-varying amounts/concentrations in organs and blood (via physiological flows, partitioning, metabolism, and excretion). A “measurement model” then maps the simulated state variables to the biomarker that was actually sampled (e.g., plasma concentration of the parent compound, metabolite in urine, or a biomarker proportional to a metabolite pool), accounting for sampling timing, binding, and assay characteristics.  

In practice, biomarker data are used to *calibrate* or *constrain* uncertain parameters (e.g., absorption rate, tissue partition coefficients, clearance/metabolic rates, enzyme activity, or inter-individual variability). This is done by fitting the PBPK model so that its predicted biomarker time courses (and/or cumulative excreted amounts) match the observed data using likelihood-based or Bayesian inference. Once calibrated, the model can predict internal dose metrics that are not directly measurable—such as target-tissue concentrations, area-under-the-curve (AUC), time above a threshold, delivered dose to specific organs, and dose to relevant cellular compartments—thereby translating biomarker measurements into estimates of internal exposure at the site of action",5,5
JC-074,What is the significance of the counterfactual or baseline exposure level in health impact assessments?,"The counterfactual exposure level represents the hypothetical level of exposure (e.g., the WHO air quality guideline) at which no or minimal health impacts are expected. It is significant because it serves as a reference point for estimating the additional health burden attributable to current exposure levels.","** The counterfactual (or baseline) exposure level defines the reference exposure against which health impacts are measured. In a health impact assessment, attributable cases are calculated as the difference between the observed exposure distribution and the counterfactual distribution. Choosing a different counterfactual — for example, zero exposure, the WHO Air Quality Guideline (e.g., 5 µg/m³ annual for PM₂.₅), or the theoretical minimum risk exposure level (TMREL ~2.4–5.9 µg/m³ used in GBD) — directly changes the magnitude of estimated attributable burden, so it is the single most influential normative assumption in any HIA",5,5
JC-075,"Estimate the number of attributable deaths in a city with a population of 1,000,000, a baseline mortality rate for IHD of 150 deaths per 100,000 per year, and a PAF of 0.125 due to PM2.5 exposure.","Attributable deaths = baseline rate × population × PAF = (150/100,000) × 1,000,000 × 0.125 = 187.5 deaths/year.",187.5 deaths/year,5,5
JC-076,"Explain how the ICRP respiratory tract model and MPPD model differ in estimating regional deposition fractions for inhaled particles, particularly in the alveolar and tracheobronchial regions.","The ICRP respiratory tract model uses empirical data and physiological parameters to estimate deposition fractions across respiratory regions, focusing on particle size, breathing patterns, and regional geometry. The MPPD model, in contrast, employs computational fluid dynamics and multiple-path algorithms to simulate more individualized deposition patterns, accounting for variations in airway morphology and flow dynamics. While the ICRP model provides standardized estimates, the MPPD model allows for greater flexibility in predicting deposition under different conditions, such as age or activity level.","ICRP (ICRP Publication 66) and MPPD (Multiple-Path Particle Dosimetry) are closely related respiratory-tract deposition frameworks, but they differ in implementation details and how they parameterize airflow, particle transport, and regional deposition. In practice, both produce regional deposition fractions (e.g., head, tracheobronchial (TB), and alveolar), yet the way they handle breathing pattern and airway geometry can shift the predicted fraction deposited in the alveolar vs TB regions.

**Key differences affecting alveolar vs tracheobronchial deposition fractions**

1. **Model “architecture” and airway representation**
   - **ICRP 66**: A compartmental/empirical deposition model built around standard respiratory tract regions and deposition mechanisms (inertial impaction, sedimentation, diffusion), using parameterizations tied to region-specific airflow and residence times.
   - **MPPD**: Uses a more explicit *multiple-path* representation of the conducting airways (branching paths) and then aggregates deposition across paths to get regional totals. This can change how residence time and local flow conditions are distributed, which matters most for **TB** deposition (impaction and sedimentation in the conducting airways) and for the **transition to alveolar** deposition (where sedimentation dominates for larger particles).

2. **Breathing pattern and flow assumptions**
   - **ICRP 66**: Typically uses standardized breathing conditions to define airflow rates and residence times for each region.
   - **MPPD**: More directly incorporates breathing parameters (e.g., resting vs light vs heavy) into the path-specific transport and deposition calculations. Because **TB deposition** is sensitive to airflow-driven impaction (especially for larger particles), and **alveolar deposition** is sensitive to sedimentation during longer residence in the peripheral lung, different breathing inputs can shift the relative alveolar vs TB fractions.

3. **Mechanism weighting across regions**
   - **Tracheobronchial (TB)** deposition is often dominated by:
     - **Inertial impaction** (more important at higher flow rates and for larger aerodynamic diameters)
     - **Sedimentation** (in the conducting airways, depending on particle size and residence time)
   - **Alveolar** deposition is often dominated by:
     - **Sedimentation** (for intermediate-to-larger particles)
     - **Diffusion** (for ultrafine particles)
   - Differences in how each model computes **local res",4,5
JC-077,How can GPS trajectory data be used to estimate an individual's exposure to air pollutants during their daily commute?,"GPS trajectory data provides spatial and temporal information that allows identification of the microenvironments visited during a commute, such as transit, outdoor, or indoor spaces. By combining GPS data with pollutant concentration measurements from monitoring stations or models, exposure levels for each microenvironment can be calculated. Time spent in each environment can then be used to determine a time-weighted average exposure.","GPS trajectory data can be used by (1) converting time-stamped GPS points into a sequence of locations and microenvironments (e.g., home, indoor/outdoor, inside vehicle, roadside/near-road) and estimating the duration spent in each segment, then (2) assigning pollutant concentrations to each segment using nearby monitoring stations and/or an air-quality model (optionally adjusted for indoor penetration or vehicle filtration). Personal exposure is then estimated by time-integration of concentration along the commute (e.g., summing \(C_i \times t_i\) across segments), and—if desired—multiplying by inhalation rate and applying penetration/deposition factors to convert to dose (mass inhaled) for specific pollutants",5,5
JC-078,"Given outdoor PM2.5 of 50 µg/m³, AER=0.8/h, P=0.9, k=0.2/h, indoor source S=400 µg/h, room V=60 m³, calculate the steady-state indoor PM2.5 concentration.",C_in = (0.9*0.8*50 + 400/60)/(0.8+0.2) = (36 + 6.67)/1.0 = 42.67 µg/m³,54.0 µg/m³,1,1
JC-079,"Explain how the ICRP respiratory tract model and MPPD model differ in estimating regional deposition fractions for inhaled particles, particularly in the alveolar and tracheobronchial regions.","The ICRP respiratory tract model uses empirical data and physiological parameters to estimate deposition fractions across respiratory regions, focusing on particle size, breathing patterns, and regional geometry. The MPPD model, in contrast, employs computational fluid dynamics and multiple-path algorithms to simulate more individualized deposition patterns, accounting for variations in airway morphology and flow dynamics. While the ICRP model provides standardized estimates, the MPPD model allows for greater flexibility in predicting deposition under different conditions, such as age or activity level.","** The ICRP-66 (International Commission on Radiological Protection) model and the MPPD (Multiple-Path Particle Dosimetry) model differ fundamentally in their anatomical representation of the lung. ICRP-66 is a *symmetric, single-path* model based on Weibel's morphometry (A-type), meaning it treats all lung airways as a single, symmetrically branching tree. MPPD, by contrast, uses an *asymmetric, multi-path* structure based on Yeh/Schum morphometry for humans (and species-specific data for rats, mice, etc.), capturing the stochastic variability of airway lengths, diameters, and branching angles across different lung paths. This asymmetry matters most for **alveolar deposition**: MPPD typically predicts slightly lower total alveolar deposition for fine particles (0.1–1 µm) than ICRP-66 because asymmetric branching allows some paths to receive less ventilated flow, shifting deposition toward the tracheobronchial (TB) region. For the **tracheobronchial region**, ICRP-66 tends to predict higher deposition of ultrafine particles (<0.1 µm) due to its simpler diffusive uptake geometry, while MPPD's asymmetric tree allows more heterogeneous deposition with some bifurcations receiving disproportionately high particle doses (hot spots). Additionally, MPPD explicitly models particle clearance via mucociliary transport and can account for lobar-specific deposition, whereas ICRP-66 uses a lumped compartmental clearance approach. Both models agree on the overall U-shaped deposition curve (peak at ~0.3 µm and >5 µm), but MPPD is now considered more physiologically realistic for health risk assessment because it captures the *distribution* of dose across lung regions, not just the average — which is critical for understanding localized toxicological effects",3,3
JC-080,"Determine the multi-route hazard quotient (HQ) for an adult exposed to lead via inhalation (5 µg/m³) and ingestion (10 µg/day). Assume inhalation rate of 15.7 m³/day, ingestion rate of 1053 mL/day, body weight of 80 kg, and RfD of 4 × 10⁻⁴ mg/kg/day.",HQ_inhalation = (C_inhalation × IR) / (RfD × BW); HQ_ingestion = (C_ingestion × IR_ingestion) / (RfD × BW); Total HQ = HQ_inhalation + HQ_ingestion = (5 × 15.7 / (4 × 10⁻⁴ × 80)) + (10 × 10⁻³ × 1.053 / (4 × 10⁻⁴ × 80)) = 0.49 + 0.33 = 0.82.,2.77,1,1
JC-081,Why is particle size a critical factor in inhalation dose calculations?,"Particle size determines the likelihood of deposition in different regions of the respiratory tract, with larger particles more likely to deposit in the upper airways and smaller particles reaching deeper regions like the alveoli. This affects the dose delivered to specific respiratory regions.","Particle size is critical because it governs where in the respiratory tract particles deposit via the three dominant mechanisms: inertial impaction (large particles, >5 µm, deposit in the head/upper airways), gravitational sedimentation (1–5 µm, deposit in the tracheobronchial and alveolar regions), and Brownian diffusion (<0.1 µm, deposit deep in the alveoli). Since clearance rates, absorption, and toxic response differ dramatically between the extrathoracic, bronchial, and alveolar regions, the particle size distribution determines both the magnitude and the anatomical site of the effective dose reaching target tissues — making it arguably the single most important parameter in inhalation dose assessment",5,5
JC-082,What biases might arise when comparing personal monitoring data to area monitoring data?,"Biases include spatial mismatch, differential time spent near sources, and variability in microenvironment concentrations. Personal monitoring may overestimate individual exposure compared to area averages.","Personal monitoring and area monitoring can differ systematically because they don’t measure the same “exposure” construct. Key biases include:

- **Spatial mismatch (neighborhood/indoor/outdoor gradients):** Area monitors represent a fixed location, while personal exposure reflects where the person actually spends time (street canyon vs. background, near sources vs. not).
- **Temporal mismatch (timing and variability):** Personal monitors capture the individual’s time-varying exposure (commuting, errands, cooking, traffic peaks), whereas area monitors may miss short spikes or average differently over time.
- **Microenvironment differences:** Personal exposure is strongly influenced by **indoor sources and conditions** (infiltration, ventilation, filtration, cooking/cleaning, smoking, dampness) that may not be reflected by an outdoor area monitor.
- **Activity pattern bias:** Differences in **work/school routines, commuting mode, and time-activity patterns** can make personal data higher/lower than area data even if ambient levels are similar.
- **Penetration and indoor attenuation:** For pollutants that infiltrate indoors (e.g., PM, NO₂, O₃), personal exposure depends on penetration and indoor loss processes; area monitors may overestimate or underestimate depending on building characteristics.
- **Exposure misclassification from using ambient as a proxy:** If one compares personal to area data without accounting for **personal-to-ambient ratios**, the comparison can be biased (often toward attenuation of associations, or systematic over/underestimation).
- **Source-related bias:** Personal monitors can be dominated by **near-field or personal sources** (e.g., workplace emissions, vehicle exposure, resuspension, household products) that area monitors don’t capture.
- **Selection/behavior bias:** People who choose certain routes/activities (or who are more/less sensitive) may systematically differ, affecting the representativeness of the personal sample relative to the area monitor’s population.

Overall, these issues can produce **systematic (directional) bias** in mean differences and **non-comparable variability**, and they can distort any inferred relationship between personal and area measurements",5,5
JC-083,Explain how cooking emissions contribute to indoor PM2.5 levels and affect the I/O ratio in residential settings.,"Cooking emissions, especially from frying or using gas stoves, release fine particles and ultrafine PM2.5 into the indoor environment. These emissions increase indoor concentrations, sometimes surpassing outdoor levels, thus elevating the I/O ratio when cooking activities are frequent.","Cooking emissions raise indoor PM2.5 because they act as an **indoor source term**: when food is heated (especially frying/boiling with inadequate exhaust), combustion and thermal degradation produce fine particles and condensable organics that enter the room air. In a simple indoor mass-balance, indoor concentration can be thought of as the sum of (i) **outdoor-origin PM2.5 that penetrates indoors** and (ii) **indoor-origin PM2.5 from cooking**, which is then reduced by **ventilation (air exchange)** and **removal processes** like **gravitational settling and surface deposition**. During cooking, the source term can dominate, so indoor PM2.5 can spike well above what would be expected from outdoor levels alone.

Cooking also affects the **I/O ratio (indoor/outdoor, C_in/C_out)**. With cooking, **C_in increases due to the indoor source**, while **C_out stays roughly unchanged**, so the I/O ratio typically **rises above 1** and can become very large during active cooking. The magnitude and duration depend on:
- **Ventilation/air exchange rate (AER):** higher AER (or effective exhaust) dilutes and removes cooking PM faster, limiting the I/O increase.
- **Range hood use and capture efficiency:** strong capture vents particles outdoors and reduces how much reaches the breathing zone, lowering both C_in and the I/O ratio.
- **Cooking type and combustion completeness:** frying, grilling, and high-heat flaming generally emit more PM2.5 than simmering/boiling; incomplete combustion increases soot and fine particle formation.
- **Particle size and condensable fraction:** cooking produces both directly emitted particles and **secondary/condensable aerosols** that can grow into PM2.5, increasing C_in even if initial emissions are larger.
- **Deposition and mixing:** in real homes, imperfect mixing and deposition to surfaces can shorten the time PM persists, but during cooking the net effect is usually still a higher I/O ratio.

In short: cooking adds an indoor PM2.5 source that boosts indoor concentrations relative to outdoor, so the I/O ratio increases during cooking—unless strong local exhaust/ventilation effectively removes the emissions",5,5
JC-084,Describe how PBPK models can be used to predict the internal dose of a chemical following dermal absorption.,"PBPK models simulate the distribution, metabolism, and elimination of a chemical by integrating absorption rates through the skin, partition coefficients, and physiological parameters. They allow predictions of systemic concentration and target organ exposure by accounting for dermal permeability and bioavailability.","PBPK models represent the body as linked compartments and use chemical-specific parameters to simulate how a substance moves from skin into blood and then throughout the body. For dermal exposure, they typically estimate skin penetration, absorption rate, and distribution to organs, allowing prediction of internal dose metrics such as blood concentration, tissue concentration, or delivered dose over time",5,5
JC-085,"Calculate the total inhaled dose for an adult male who spends 8 hours sleeping (0.45 m³/h), 8 hours sedentary (0.54 m³/h), and 8 hours performing light activity (1.5 m³/h) in an environment with a constant concentration of 25 µg/m³.",Dose = Σ(Ci × IRi × ti). Dose = 25 µg/m³ × (0.45 m³/h × 8 h + 0.54 m³/h × 8 h + 1.5 m³/h × 8 h) = 25 × (3.6 + 4.32 + 12) = 25 × 19.92 = 498 µg.,"498 µg (0.498 mg)**

*Calculation:*  
- **Sleep:** 25 µg/m³ × 0.45 m³/h × 8 h = **90 µg**  
- **Sedentary:** 25 µg/m³ × 0.54 m³/h × 8 h = **108 µg**  
- **Light activity:** 25 µg/m³ × 1.5 m³/h × 8 h = **300 µg**  
- **Total inhaled dose** = 90 + 108 + 300 = **498 µg** (≈ 0.5 mg)",5,5
JC-086,"Explain how indoor PM2.5 concentrations would respond to an increase in outdoor concentrations during a wildfire event, assuming a constant AER and no indoor sources.","Indoor concentrations would increase proportionally to outdoor levels, modified by the infiltration efficiency and removal mechanisms (AER and deposition). The time to reach steady-state depends on τ = 1/(AER + k).","Indoor PM2.5 would increase proportionally with outdoor PM2.5 during a wildfire event if (1) air exchange rate (AER) is constant and (2) there are no indoor sources (and no additional indoor loss terms beyond what’s already implicit in the mass balance).  

Under steady-state indoor air mass balance with no indoor sources, the indoor concentration is \(C_{in} = P \, C_{out}\) (or \(C_{in}=C_{out}\) if penetration \(P\approx 1\)). Therefore, if \(C_{out}\) rises by a factor \(f\), then \(C_{in}\) rises by the same factor \(f\) (i.e., the indoor/outdoor ratio stays constant)",3,3
JC-087,"Determine the hazard quotient (HQ) for a child ingesting arsenic-contaminated water at a concentration of 15 µg/L. Assume daily water intake of 378 mL/day, body weight of 18.6 kg, and a reference dose (RfD) of 3 × 10⁻⁴ mg/kg/day.",HQ = (C × IR × EF) / (RfD × BW) = (15 × 10⁻³ × 0.378 × 1) / (3 × 10⁻⁴ × 18.6) = 0.105.,1.02,1,1
JC-088,How does particle size influence inhalation dose calculations in the ICRP respiratory tract model?,"Particle size affects deposition efficiency and location within the respiratory tract. Smaller particles (<0.1 μm) deposit in the alveolar region via diffusion, while larger particles (>1 μm) are captured in the upper airways by impaction and sedimentation, altering cumulative dose calculations.","** Particle size is the dominant determinant of where and how much inhaled particulate matter deposits in the respiratory tract, which directly governs inhalation dose. In the ICRP-66 model, three deposition mechanisms operate across different size regimes: (1) **Diffusion** dominates for ultrafine particles (<0.1 µm), causing high deposition fractions in the alveolar and tracheobronchial regions; (2) **Impaction and sedimentation** drive increasing deposition in the extrathoracic (head) and tracheobronchial regions as particle size increases above ~1 µm; and (3) a **deposition minimum** occurs in the 0.1–1 µm accumulation-mode range where all mechanisms are least efficient, meaning these particles penetrate deeply into the lungs but deposit with the lowest fractional efficiency. Because the inhalation dose equation (Dose = C × IR × t × DF ÷ BW) multiplies the deposition fraction (DF) directly into the dose, two aerosols with identical mass concentrations but different size distributions can yield very different lung doses — coarse PM deposits mostly in the head (contributing little to alveolar dose), while ultrafine PM delivers a large fraction of its mass to the gas-exchange region where it is retained longer and has greater toxicological impact",5,5
JC-089,Discuss how BenMAP software quantifies health impacts of air pollution exposure and the role of concentration-response functions in this process.,"BenMAP estimates health impacts by combining air pollution concentration data, population demographics, baseline health incidence rates, and concentration-response functions derived from epidemiological studies. These functions link pollutant levels to specific health outcomes.","BenMAP estimates air-pollution health impacts by combining spatial air quality changes with population data, baseline disease rates, and health impact functions to calculate attributable cases such as deaths, hospitalizations, or asthma events across locations. The concentration-response (C-R) functions are the core epidemiologic link: they translate a change in pollutant concentration into a proportional change in health risk, allowing BenMAP to estimate avoided or excess cases under different air quality scenarios. Results depend strongly on the selected C-R function, its uncertainty, and assumptions about exposure, thresholds, and population susceptibility",5,5
JC-090,Evaluate the trade-offs between self-reported time-activity diaries and wearable sensors for exposure assessment in epidemiological studies.,"Self-reports provide context and activity detail but are prone to recall bias. Wearable sensors offer objective data but may have accuracy, calibration, and participant compliance issues.","Self-reported time-activity diaries and wearable sensors both have strengths and weaknesses; the “best” choice depends on the exposure metric (e.g., air pollutant vs. noise vs. heat), study population, and required temporal resolution. Below are key trade-offs commonly observed in epidemiological exposure assessment.

**1) Measurement validity (accuracy of time spent in microenvironments)**
- **Diaries (self-report):** Often capture *what participants think they did* rather than *what they actually did*. Recall errors and rounding (e.g., “about 30 minutes”) can distort time in key microenvironments (home, work, commuting).
- **Wearables:** Typically improve *temporal resolution* and can better detect transitions (e.g., leaving home, commuting). However, they may misclassify *location type* unless paired with strong algorithms (GPS + map matching, Wi-Fi, cell tower triangulation) and ground-truthing.

**2) Bias patterns**
- **Diaries:**
  - **Differential bias risk:** If participants with symptoms (or those in certain exposure groups) report differently, bias can be differential.
  - **Systematic under/over-reporting:** People may underreport time in “non-routine” settings (errands, short trips) and overreport routine periods.
- **Wearables:**
  - **Algorithmic bias:** Misclassification can be systematic (e.g., GPS drift in dense urban areas; indoor GPS attenuation; poor performance for certain mobility patterns).
  - **Missingness bias:** If devices fail more often in specific groups (older adults, lower adherence, lower tech comfort), bias can be differential.

**3) Temporal resolution and exposure linkage**
- **Diaries:** Usually coarse (daily blocks, categories like “morning/afternoon/evening”), which can be limiting for pollutants with strong short-term variability (e.g., traffic-related spikes, wildfire smoke events).
- **Wearables:** Can support minute-by-minute or finer exposure modeling, improving alignment with high-resolution concentration data (monitors, modeled grids, traffic emissions).

**4) Burden and adherence**
- **Diaries:**
  - Lower hardware burden but higher cognitive burden; compliance can drop over time.
  - Participants may “simplify” entries, reducing detail.
- **Wearables:**
  - Lower cognitive burden once set up, but require charging, wearing correctly, and troubleshooting.
  - Adherence issues (non-wear time, device removal during bathing/sleep, discomfort) are common and must be handled analytically.

**5) Cost and logistics**
",5,5
